display  D   display_settings.c:486  _al_score_display_settings       [   0.08619] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08621] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08622] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08623] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08624] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08626] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08627] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08628] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08630] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08631] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08632] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08633] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08635] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08636] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08637] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08639] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08640] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08641] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08642] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08644] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08645] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08646] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08648] Score is : 609
